Name        Id          CB_mean        CB_sigma       CB_alpha1      CB_alpha2      CB_n1          CB_n2          Expo_lambda          Range_limit
Ge1_2       33554433    8.93678        0.162758       1.9292         2.38648        2.23723        2.77511        -0.201774            13 
Ge1_3       33554434    9.17065        0.163502       1.9144         2.23115        2.39044        4.03799        -0.211788            13
Ge1_4       33554435    9.40739        0.163748       1.89267        2.26597        2.37325        3.72115        -0.200962            13
Ge1_5       33554436    9.63617        0.165363       1.85737        2.44597        2.88124        2.47769        -0.171899            16
Ge1_6       33554437    9.85793        0.168283       1.86196        2.51479        2.67069        2.01085        -0.209009            16
Ge1_7       33554438    10.0918        0.168697       1.8522         2.23852        2.90516        3.73731        -0.15163             16
Ge1_8       33554439    10.3343        0.170625       1.84783        2.34479        2.91674        2.95972        -0.16502             16
Ge1_9       33554440    10.5717        0.173255       1.89698        2.19182        2.35182        4.22239        -0.175035            16
Ge1_10      33554441    10.9602        0.251685       2.08178        2.76542        1.68698        0.91639        -0.161735            16
Ge1_11      33554442    11.468         0.261827       2.13748        2.83159        1.59845        0.761393       -0.145222            16
Ge1_12      33554443    11.9818        0.260023       2.07533        2.764          1.74665        0.973746       -0.128302            16
Ge1_13      33554444    12.5136        0.263441       2.00694        2.76149        1.96971        1.05661        -0.109558            24
Ge1_14      33554445    13.0599        0.264825       2.00977        2.70516        1.95463        1.20795        -0.117983            24
Ge1_15      33554446    13.6138        0.27524        2.01239        2.84599        1.97263        0.799373       -0.109423            24
Ge1_16      33554447    14.2733        0.365956       2.29668        2.84427        1.24122        0.784719       -0.13007             24
Ge1_17      33554448    15.1792        0.365058       2.24415        2.83119        1.39017        0.884584       -0.101583            24
Ge1_18      33554449    16.0121        0.365268       2.1633         2.76583        1.56062        1.043          -0.092879            24
Ge1_19      33554450    16.847         0.382043       2.30511        2.77636        1.28894        1.03087        -0.0776622           24
Ge1_20      33554451    17.9617        0.402474       2.11939        2.95239        1.72398        0.690536       -0.0864099           24
Ge1_21      33554452    18.8986        0.382636       2.15341        2.80307        1.55972        1.05187        -0.0702127           28
Ge1_22      33554453    19.7823        0.369295       1.97319        2.62527        1.891          1.3746         -0.0858446           28
Ge1_23      33554454    20.6799        0.424447       2.22873        2.73627        1.41695        1.21885        -0.0890915           28
Ge1_24      33554455    21.7548        0.449371       2.27745        2.91032        1.36672        0.818121       -0.100626            28
Ge1_25      33554456    22.8962        0.405441       2.07528        2.72818        1.72974        1.23321        -0.0879793           29
Ge1_26      33554457    23.9139        0.386094       1.88221        2.76989        2.18534        1.13055        -0.0711252           29
Ge1_27      33554458    25.0058        0.425917       1.95513        2.64741        2.06724        1.3579         -0.0667705           29
Ge1_28      33554459    25.9894        0.319227       1.6869         2.54835        2.97146        1.68404        -0.0620677           29
Ge1_29      33554460    26.7111        0.329159       1.74282        2.56352        2.73032        1.66232        -0.165659            30
Ge1_30      33554461    27.4559        0.333004       1.77786        2.6327         2.55322        1.43663        -0.168823            30
Ge1_31      33554462    28.2396        0.351653       1.80737        2.33777        2.58217        3.70398        -0.152958            30
Ge2_2       50331649    26.6194        0.37931        2.00267        1.12567        1.90717        22.9995        -0.0618152           58
Ge2_3       50331650    27.4599        0.352641       1.84874        2.77181        2.28936        0.980815       -0.0763797           58
Ge2_4       50331651    28.2282        0.358304       1.86295        2.70478        2.27096        1.10167        -0.0810322           58
Ge2_5       50331652    29.0219        0.363992       1.87136        2.7232         2.23061        1.10882        -0.0862111           58
Ge2_6       50331653    29.8205        0.357214       1.75424        2.71703        2.61112        1.11366        -0.0980613           58
Ge2_7       50331654    30.6019        0.353953       1.76454        2.60239        2.46362        1.51532        -0.0804966           58
Ge2_8       50331655    31.405         0.368177       1.78287        2.43763        2.46052        2              -0.0760119           58
Ge2_9       50331656    32.2422        0.367533       1.77378        2.69513        2.50481        1.27074        -0.0835004           58
Ge2_10      50331657    33.1084        0.385342       1.79031        2.75805        2.52523        1.01859        -0.0847193           58
Ge2_11      50331658    33.9813        0.372204       1.78042        2.62948        2.54126        1.49645        -0.0874094           58
Ge2_12      50331659    34.8209        0.373782       1.78552        2.68394        2.41304        1.27335        -0.0904565           58
Ge2_13      50331660    35.6647        0.378495       1.75101        2.59743        2.51844        1.63144        -0.0823266           58
Ge2_14      50331661    36.5115        0.371585       1.69096        2.62035        2.64317        1.47195        -0.0779216           58
Ge2_15      50331662    37.3831        0.401298       1.86002        2.71217        2.18194        1.2166         -0.0739614           58
Ge2_16      50331663    38.2371        0.364386       1.68681        2.58677        2.69414        1.44506        -0.091835            58
Ge2_17      50331664    38.9889        0.384099       1.73795        2.55777        2.50598        1.67886        -0.0759779           58
Ge2_18      50331665    39.9116        0.404924       1.77165        2.69924        2.43751        1.27788        -0.0773494           58
Ge2_19      50331666    40.8453        0.397269       1.76838        2.66027        2.37902        1.37717        -0.083106            58
Ge2_20      50331667    41.7159        0.390778       1.73069        2.45311        2.56618        1.89343        -0.0933487           58
Ge2_21      50331668    42.8032        0.540006       2.22424        2.90087        1.4069         0.898061       -0.0733966           58
Ge2_22      50331669    43.723         0.409806       1.72694        2.66337        2.52913        1.3575         -0.0889458           58
Ge2_23      50331670    44.7392        0.596596       2.39588        2.72108        1.11115        1.08598        -0.0712414           58
Ge2_24      50331671    45.5753        0.408997       1.43584        2.63584        3.35488        1.4592         -0.077407            58
Ge2_25      50331672    46.3657        0.426114       1.82084        2.53921        2.24477        1.98878        -0.0863114           58
Ge2_26      50331673    47.3575        0.459384       1.90787        2.60698        2.01121        1.6214         -0.0746193           58
Ge2_27      50331674    48.315         0.428223       1.82161        2.57971        2.27002        1.76088        -0.0741088           58
Ge2_28      50331675    49.283         0.480417       1.94646        2.19585        2.05456        3.17027        -0.0804486           58
Ge2_29      50331676    50.2255        0.39888        1.47368        1.9712         3.53146        4.08323        -0.0900696           58
Ge2_30      50331677    51.1939        0.559125       2.18533        2.63386        1.4822         1.53988        -0.0976719           58
Ge2_31      50331678    52.5984        0.556808       1.92954        2.69313        1.86924        1.24094        -0.093202            58
