Name        Id          Init_mean      Mean           Sigma          EvtNr          
Ge1_2       33554433    8.93678        8.93678        0.162758       88731.3        
Ge1_3       33554434    9.17065        9.17065        0.163502       89530.7        
Ge1_4       33554435    9.4074         9.40739        0.163748       90041.3        
Ge1_5       33554436    9.63617        9.63617        0.165363       90440.3        
Ge1_6       33554437    9.85793        9.85793        0.168283       91266.7        
Ge1_7       33554438    10.0918        10.0918        0.168697       91184.3        
Ge1_8       33554439    10.3343        10.3343        0.170625       92248.3        
Ge1_9       33554440    10.5717        10.5717        0.173255       94142.3        
Ge1_10      33554441    10.8388        10.8387        0.177968       97532.5        
Ge1_11      33554442    11.0817        11.0817        0.177968       91893.2        
Ge1_12      33554443    11.3468        11.3467        0.18514        99584.9        
Ge1_13      33554444    11.5891        11.5892        0.18514        92289.4        
Ge1_14      33554445    11.8547        11.8547        0.183864       97780.8        
Ge1_15      33554446    12.1089        12.1089        0.183864       96676.8        
Ge1_16      33554447    12.3845        12.3845        0.186281       100710         
Ge1_17      33554448    12.6426        12.6426        0.186281       95509.1        
Ge1_18      33554449    12.9253        12.9253        0.18726        103639         
Ge1_19      33554450    13.1945        13.1945        0.18726        94711.8        
Ge1_20      33554451    13.4756        13.4785        0.194624       107574         
Ge1_21      33554452    13.7525        13.7492        0.194624       93673.3        
Ge1_22      33554453    14.0375        14.0374        0.211285       61184          
Ge1_23      33554454    14.2052        14.2053        0.211285       110391         
Ge1_24      33554455    14.5772        14.5773        0.211285       134345         
Ge1_25      33554456    14.9389        14.9388        0.210767       62177.5        
Ge1_26      33554457    15.1135        15.1135        0.210767       105509         
Ge1_27      33554458    15.4853        15.4853        0.210767       143201         
Ge1_28      33554459    15.7518        15.7581        0.210888       98984.2        
Ge1_29      33554460    15.9933        15.9747        0.210888       82114.7        
Ge1_30      33554461    16.3141        16.3035        0.210888       133884         
Ge1_31      33554462    16.595         16.5953        0.220573       63813          
Ge1_32      33554463    16.7738        16.7737        0.220573       110260         
Ge1_33      33554464    17.1721        17.172         0.220573       144575         
Ge1_34      33554465    17.6071        17.6071        0.232368       151367         
Ge1_35      33554466    18.0246        18.0246        0.232368       124681         
Ge1_36      33554467    18.2537        18.2536        0.232368       46009.5        
Ge1_37      33554468    18.631         18.6309        0.220915       65260.7        
Ge1_38      33554469    18.8307        18.8306        0.220915       106397         
Ge1_39      33554470    19.2343        19.2343        0.220915       153984         
Ge1_40      33554471    19.4723        19.4724        0.213213       102692         
Ge1_41      33554472    19.7688        19.7689        0.213213       101529         
Ge1_42      33554473    20.1058        20.1058        0.213213       125257         
Ge1_43      33554474    20.4103        20.4095        0.245055       99696.9        
Ge1_44      33554475    20.6174        20.6162        0.245055       90369.8        
Ge1_45      33554476    21.0142        21.0142        0.245055       142996         
Ge1_46      33554477    21.5259        21.5049        0.259444       67673.9        
Ge1_47      33554478    21.6574        21.6475        0.259444       115233         
Ge1_48      33554479    22.1106        22.1119        0.259444       151942         
Ge1_49      33554480    22.6121        22.6085        0.234081       67201.8        
Ge1_50      33554481    22.8161        22.8195        0.234081       106827         
Ge1_51      33554482    23.2589        23.2605        0.234081       161980         
