Name        Id          Range_low        Range_high       CB_mean       CB_sigma        CB_alpha1     CB_alpha2     CB_n1    CB_n2
Ge1_2       33554433    0.8              20               8.93463       0.168723        1.6           2.6           4        9        
Ge1_3       33554434    0.8              20               9.16868       0.170106        1.6           2.6           4        9        
Ge1_4       33554435    0.8              20               9.40503       0.17049         1.6           2.6           4        9        
Ge1_5       33554436    0.8              20               9.63356       0.171611        1.6           2.6           4        9        
Ge1_6       33554437    0.8              20               9.85521       0.174324        1.6           2.6           4        9        
Ge1_7       33554438    0.8              20               10.0894       0.175845        1.6           2.6           4        9        
Ge1_8       33554439    0.8              20               10.3317       0.17756         1.6           2.6           4        9        
Ge1_9       33554440    0.8              20               10.5697       0.180759        1.6           2.6           4        9        
Ge1_10      33554441    0.8              25               10.9518       0.224881        1.6           2.6           4        9        
Ge1_11      33554442    0.8              25               11.4591       0.229983        1.6           2.6           4        9        
Ge1_12      33554443    0.8              25               11.9763       0.232959        1.6           2.6           4        9        
Ge1_13      33554444    0.8              28               12.5044       0.236846        1.6           2.6           4        9        
Ge1_14      33554445    0.8              28               13.048        0.241232        1.6           2.6           4        9        
Ge1_15      33554446    0.8              28               13.5986       0.247371        1.6           2.6           4        9        
Ge1_16      33554447    0.8              28               14.328        0.316319        1.6           2.6           4        9        
Ge1_17      33554448    0.8              28               15.2411       0.318132        1.6           2.6           4        9        
Ge1_18      33554449    0.8              28               16.0368       0.325949        1.6           2.6           4        9        
Ge1_19      33554450    0.8              28               16.9107       0.334373        1.6           2.6           4        9        
Ge1_20      33554451    0.8              28               17.8537       0.353692        1.6           2.6           4        9        
Ge1_21      33554452    0.8              28               18.9696       0.342625        1.6           2.6           4        9        
Ge1_22      33554453    0.8              28               19.7902       0.351353        1.6           2.6           4        9        
Ge1_23      33554454    0.8              28               20.7183       0.371317        1.6           2.6           4        9        
Ge1_24      33554455    0.8              28               21.8246       0.380542        1.6           2.6           4        9        
Ge1_25      33554456    1.0              28.5             22.9761       0.368807        1.6           2.6           4        9        
Ge1_26      33554457    1.0              29               23.9004       0.384096        1.6           2.6           4        9        
Ge1_27      33554458    1.2              30               24.9391       0.41292         1.6           2.6           4        9        
Ge1_28      33554459    0.8              30               25.9701       0.315088        1.6           2.6           4        9        
Ge1_29      33554460    0.8              30.5             26.6916       0.320832        1.6           2.6           4        9        
Ge1_30      33554461    0.8              31               27.4241       0.330637        1.6           2.6           4        9        
Ge1_31      33554462    0.8              32               28.1973       0.343852        1.6           2.6           4        9        
Ge2_2       50331649    1.8              52               26.5344       0.384635        1.6           2.6           4        9        
Ge2_3       50331650    1.8              52               27.4099       0.356141        1.6           2.6           4        9        
Ge2_4       50331651    1.8              52               28.1716       0.361352        1.6           2.6           4        9        
Ge2_5       50331652    1.8              52               28.964        0.366696        1.6           2.6           4        9        
Ge2_6       50331653    1.8              52               29.7724       0.363587        1.6           2.6           4        9        
Ge2_7       50331654    1.8              52               30.5606       0.366837        1.6           2.6           4        9        
Ge2_8       50331655    1.8              52               31.3433       0.390231        1.6           2.6           4        9        
Ge2_9       50331656    1.8              52               32.1972       0.385513        1.6           2.6           4        9        
Ge2_10      50331657    1.8              55               33.0435       0.403388        1.6           2.6           4        9        
Ge2_11      50331658    1.8              55               33.9381       0.393302        1.6           2.6           4        9        
Ge2_12      50331659    1.8              55               34.787        0.386282        1.6           2.6           4        9        
Ge2_13      50331660    1.8              55               35.6228       0.409673        1.6           2.6           4        9        
Ge2_14      50331661    1.8              55               36.4929       0.396031        1.6           2.6           4        9        
Ge2_15      50331662    1.8              55               37.3484       0.442188        1.6           2.6           4        9        
Ge2_16      50331663    1.8              55               38.2506       0.366389        1.6           2.6           4        9        
Ge2_17      50331664    1.8              55               38.9741       0.425644        1.6           2.6           4        9        
Ge2_18      50331665    1.8              55               39.8906       0.457269        1.6           2.6           4        9        
Ge2_19      50331666    1.8              56               40.8387       0.443816        1.6           2.6           4        9        
Ge2_20      50331667    1.8              56               41.7265       0.418322        1.6           2.6           4        9        
Ge2_21      50331668    1.8              56               42.7057       0.56156         1.6           2.6           4        9        
Ge2_22      50331669    1.8              56               43.7695       0.328492        1.6           2.6           4        9        
Ge2_23      50331670    1.8              56               44.7027       0.622004        1.6           2.6           4        9        
Ge2_24      50331671    1.8              56               45.644        0.364376        1.6           2.6           4        9        
Ge2_25      50331672    1.8              58               46.4264       0.437471        1.6           2.6           4        9        
Ge2_26      50331673    1.8              58               47.4013       0.489498        1.6           2.6           4        9        
Ge2_27      50331674    1.8              58               48.3962       0.410082        1.6           2.6           4        9        
Ge2_28      50331675    1.8              58               49.3568       0.476921        1.6           2.6           4        9        
Ge2_29      50331676    1.8              60               50.2993       0.364183        1.6           2.6           4        9        
Ge2_30      50331677    1.8              60               51.2907       0.560847        1.6           2.6           4        9        
Ge2_31      50331678    1.8              60               52.7498       0.441085        1.6           2.6           4        9        
