Name        Id          Range_low        Range_high     Range_start  CB_mean      CB_sigma        Energy_offset(keV)
Si1_13      12          0.08             6.0            6.0          0.18         0.076015        -6
Si1_14      13          0.08             6.0            6.0          0.18         0.076015        -6
Si1_15      14          0.08             6.0            6.0          0.18         0.076015        -6
Si1_16      15          0.08             6.0            6.0          0.186011     0.076224        -14 
Si1_17      16          0.08             6.0            6.0          0.18         0.076015        -6
Si1_18      17          0.08             6.0            6.0          0.18         0.076015        -6
Si1_19      18          0.08             6.0            6.0          0.186011     0.076224        4
Si1_20      19          0.08             6.0            6.0          0.228101     0.080739        -2
Si1_21      20          0.08             6.0            6.0          0.270153     0.080086        8
Si1_22      21          0.08             6.0            6.0          0.33018      0.07933         -2
Si1_23      22          0.08             6.0            6.0          0.389377     0.07146         0 
Si1_24      23          0.08             6.0            6.0          0.419154     0.07836         14
Si1_25      24          0.08             6.0            6.0          0.49672      0.07110         -10
Si1_26      25          0.08             6.0            6.0          0.529699     0.07937         8
Si1_27      26          0.08             6.0            6.0          0.608593     0.07615         -8
Si1_28      27          0.08             6.0            6.0          0.6674       0.0772255       0 
Si1_29      28          0.08             6.0            6.0          0.735481     0.0780427       0
Si1_30      29          0.08             6.0            6.0          0.8125       0.08270         0
Si1_31      30          0.08             6.0            6.0          0.8825       0.08139         0
Si1_32      31          0.08             6.0            6.0          0.9575       0.08340         0
Si1_33      32          0.08             6.0            6.0          1.0325       0.08460         0
Si1_34      33          0.08             6.0            6.0          1.1225       0.08504         0
Si1_35      34          0.08             6.0            6.0          1.1925       0.08739         0
Si1_36      35          0.08             6.0            6.0          1.2775       0.08800         0
Si1_37      36          0.08             6.0            6.0          1.3625       0.08885         0
Si1_38      37          0.08             6.0            6.0          1.4575       0.08948         0
Si1_39      38          0.08             6.0            6.0          1.5525       0.08984         0
Si1_40      39          0.08             6.0            6.0          1.6425       0.09156         0
Si1_41      40          0.08             6.0            6.0          1.7475       0.09241         0
Si1_42      41          0.08             6.0            6.0          1.8475       0.09313         0
Si1_43      42          0.08             6.0            6.0          1.9525       0.09505         0
Si1_44      43          0.08             6.0            6.0          2.0575       0.09620         0
Si1_45      44          0.08             6.0            6.0          2.1725       0.09789         0
Si1_46      45          0.08             6.0            6.0          2.2875       0.09891         0
Si1_47      46          0.08             6.0            6.0          2.4075       0.10098         0
Si2_2       16777217    0.08             6.0            6.0          0.8025       0.07803         0
Si2_3       16777218    0.08             6.0            6.0          0.8575       0.08523         0
Si2_4       16777219    0.08             6.0            6.0          0.9375       0.08273         0
Si2_5       16777220    0.08             6.0            6.0          1.0175       0.08430         0
Si2_6       16777221    0.08             6.0            6.0          1.0975       0.08498         0
Si2_7       16777222    0.08             6.0            6.0          1.1675       0.08688         0
Si2_8       16777223    0.08             6.0            6.0          1.2525       0.08854         0
Si2_9       16777224    0.08             6.0            6.0          1.3475       0.08899         0
Si2_10      16777225    0.08             6.0            6.0          1.4425       0.08992         0
Si2_11      16777226    0.08             6.0            6.0          1.5275       0.09044         0
Si2_12      16777227    0.08             6.0            6.0          1.6325       0.09102         0
Si2_13      16777228    0.08             6.0            6.0          1.7225       0.09298         0
Si2_14      16777229    0.08             6.0            6.0          1.8275       0.09407         0
Si2_15      16777230    0.08             6.0            6.0          1.9375       0.09488         0
Si2_16      16777231    0.08             6.0            6.0          2.0325       0.09677         0
Si2_17      16777232    0.08             6.0            6.0          2.1525       0.09827         0
Si2_18      16777233    0.08             6.0            6.0          2.2675       0.09957         0
Si2_19      16777234    0.08             6.0            6.0          2.3775       0.10185         0
Si2_20      16777235    0.08             6.0            6.0          2.5025       0.10272         0
Si2_21      16777236    0.08             6.0            6.0          2.6275       0.10368         0
Si2_22      16777237    0.08             6.0            6.0          2.7475       0.10527         0
Si2_23      16777238    0.08             6.0            6.0          2.8725       0.10870         0
Si2_24      16777239    0.08             6.0            6.0          3.0075       0.10876         0
Si2_25      16777240    0.08             6.0            6.0          3.1375       0.11041         0
Si2_26      16777241    0.08             6.0            6.0          3.2825       0.11155         0
Si2_27      16777242    0.08             6.0            6.0          3.4125       0.11165         0
Si2_28      16777243    0.08             6.0            6.0          3.5575       0.11333         0
Si2_29      16777244    0.08             6.0            6.0          3.7025       0.11509         0
Si2_30      16777245    0.08             6.0            6.0          3.8525       0.11669         0
Si2_31      16777246    0.08             6.0            6.0          4.0025       0.11745         0
Si2_32      16777247    0.08             6.0            6.0          4.1625       0.11929         0
Si2_33      16777248    0.08             6.0            6.0          4.2975       0.12010         0
Si2_34      16777249    0.08             6.0            6.0          4.4525       0.12191         0
Si2_35      16777250    0.08             6.0            6.0          4.6225       0.12434         0
Si2_36      16777251    0.08             6.0            6.0          4.7825       0.12301         0
Si2_37      16777252    0.08             6.0            6.0          4.9475       0.12826         0
Si2_38      16777253    0.08             6.0            6.0          5.1225       0.12808         0
