Name        Id          Range_low        Range_high       CB_mean      CB_sigma    CB_alpha1      CB_alpha2      CB_n1          CB_n2       EvtNr
Si1_19      18          0.12             0.8              0.186011     0.076224    1.5320         1.51475        11.9434        11          123765
Si1_20      19          0.12             0.8              0.23251      0.077098    0.45           1.35182        11.9768        11          130593
Si1_21      20          0.12             0.8              0.26656      0.08015     1.5320         1.51475        11.9434        11          125435
Si1_22      21          0.12             0.8              0.33018      0.07933     0.41           1.35182        11.9768        11          123916
Si1_23      22          0.15             0.9              0.389377     0.07146     0.1921         1.73652        8.00001        11          111022
Si1_24      23          0.13             0.9              0.419154     0.07836     0.4761         1.74995        11.9975        9.00011     103875
Si1_25      24          0.15             1.0              0.49672      0.07110     0.5            1.7            8.00981        11          96745.8
Si1_26      25          0.11             1.2              0.529699     0.07937     0.5643         1.70056        8.00104        9.00001     90032
Si1_27      26          0.11             1.2              0.608593     0.07615     1.0830         1.99321        11.9917        9.00005     77106.6
Si1_28      27          0.12             1.2              0.667944     0.07674     1.00665        2.22295        6.29573        2.71911     72154.9
Si1_29      28          0.11             1.4              0.7375       0.08461     1.10349        1.83873        8.99998        9.9999      68517.1
Si1_30      29          0.13             1.4              0.8125       0.08270     1.35413        1.72535        8.99975        10          65497.8
Si1_31      30          0.12             1.4              0.8825       0.08139     1.3            2.01397        9.0            10          63151.2
Si1_32      31          0.12             1.4              0.9575       0.08340     1.63148        1.98863        8.99996        10          61509
Si1_33      32          0.12             1.4              1.0325       0.08460     1.49748        2.12472        8.99948        9.90321     60355
Si1_34      33          0.13             1.6              1.1225       0.08504     1.45719        2.33776        8.99168        10          60089
Si1_35      34          0.13             1.8              1.1925       0.08739     1.32617        2.11441        8.99977        3.61319     57281.3
Si1_36      35          0.13             1.8              1.2775       0.08800     1.32727        1.8564         8.41114        9.99997     51425.4
Si1_37      36          0.12             1.8              1.3625       0.08885     1.46011        1.9485         6.68513        9.9984      40092.5
Si1_38      37          0.13             2.0              1.4575       0.08948     1.52161        2.02577        8.99985        9.99987     30211.2
Si1_39      38          0.13             2.0              1.5525       0.08984     1.53195        2.14832        8.99995        4.21233     28457
Si1_40      39          0.13             2.0              1.6425       0.09156     1.47167        1.87694        8.99999        9.99994     28809.1
Si2_2       16777217    0.13             1.5              0.8025       0.07803     1.42785        2.18076        8.73219        9.55618     67951.8
Si2_3       16777218    0.13             1.5              0.8575       0.08523     1.19628        1.91687        8.99999        10          65542.8
Si2_4       16777219    0.13             1.5              0.9375       0.08273     1.2            1.9            10             11          63644.7
Si2_5       16777220    0.14             1.5              1.0175       0.08430     1.44795        2.10499        8.99543        10          61777.7
Si2_6       16777221    0.13             1.6              1.0975       0.08498     1.71517        2.35554        8.9999         10          60502.8
Si2_7       16777222    0.13             1.6              1.1675       0.08688     1.46729        2.0000         5              9.99979     59746.1
Si2_8       16777223    0.13             1.8              1.2525       0.08854     1.26761        2.04293        8.99997        10          55743.4
Si2_9       16777224    0.13             1.8              1.3475       0.08899     1.4211         4.843          8.9565         6.50718     45775.9
Si2_10      16777225    0.13             1.8              1.4425       0.08992     1.42577        2.61202        8.99843        2.16604     35379.5
Si2_11      16777226    0.13             2.0              1.5275       0.09044     1.39598        1.96449        8.99974        7.53323     27578.5
Si2_12      16777227    0.13             2.0              1.6325       0.09102     1.45624        2.08964        8.99998        9.9999      26780.8
