Name        Id          Range_low        Range_high       CB_mean      CB_sigma    CB_alpha1      CB_alpha2      CB_n1          CB_n2       EvtNr   
Si1_21      20          0.08             6.0              0.26656      0.08015     1.5320         1.51475        11.9434        11          157792  
Si1_22      21          0.08             6.0              0.33018      0.07933     0.1            1.35182        11.9768        11          216532  
Si1_23      22          0.08             6.0              0.389377     0.07146     0.1921         1.73652        8.00001        11          166192  
Si1_24      23          0.10             6.0              0.419154     0.07836     0.4761         1.74995        11.9975        9.00011     131474  
Si1_25      24          0.30             6.0              0.49672      0.07110     0.5            1.7            8.00981        11          120000
Si1_26      25          0.25             6.0              0.529699     0.07937     0.5643         1.70056        8.00104        9.00001     100908   
Si1_27      26          0.25             6.0              0.608593     0.07615     1.0830         1.99321        11.9917        9.00005     72221.6 
Si1_28      27          0.25             6.0              0.667944     0.07674     1.00665        2.22295        6.29573        2.71911     71723.8 
Si1_29      28          0.25             6.0              0.7375       0.08461     1.10349        1.83873        8.99998        9.9999      68360.6 
Si1_30      29          0.25             6.0              0.8125       0.08270     1.35413        1.72535        8.99975        10          64578.1 
Si1_31      30          0.25             6.0              0.8825       0.08139     1.3            2.01397        9.0            10          60541.8 
Si1_32      31          0.20             6.0              0.9575       0.08340     1.63148        1.98863        8.99996        10          62050.3 
Si1_33      32          0.30             6.0              1.0325       0.08460     1.49748        2.12472        8.99948        9.90321     61460.3 
Si1_34      33          0.30             6.0              1.1225       0.08504     1.45719        2.33776        8.99168        10          60775.9 
Si1_35      34          0.30             6.0              1.1925       0.08739     1.32617        2.11441        8.99977        3.61319     60737.3 
Si1_36      35          0.30             6.0              1.2775       0.08800     1.32727        1.8564         8.41114        9.99997     60215.2 
Si1_37      36          0.30             6.0              1.3625       0.08885     1.46011        1.9485         6.68513        9.9984      58907.4 
Si1_38      37          0.30             6.0              1.4575       0.08948     1.52161        2.02577        8.99985        9.99987     57820.4 
Si1_39      38          0.30             6.0              1.5525       0.08984     1.53195        2.14832        8.99995        4.21233     56914   
