Name        Id          CB_mean      CB_sigma    CB_alpha1      CB_alpha2      CB_n1          CB_n2   
Si1_19      18          0.186011     0.076224    1.5320         1.51475        11.9434        11      
Si1_20      19          0.228101     0.0807395   1.432          1.82181        11.9434        14.9999 
Si1_21      20          0.270153     0.0800868   0.473385       1.84283        12.9482        15.0    
Si1_22      21          0.334124     0.0751984   0.471612       1.78111        9.9768         15      
Si1_23      22          0.386512     0.074989    0.566121       1.92285        10.0001        15      
Si1_24      23          0.424125     0.0759325   0.713343       1.96571        9.9975         13.0    
Si1_25      24          0.500814     0.0761319   0.759631       1.99767        6.00981        15      
Si1_26      25          0.53472      0.0767234   0.875984       1.86454        6.00104        13      
Si1_27      26          0.61137      0.0771594   0.918967       1.92158        9.9917         13      
Si1_28      27          0.669066     0.0788885   1.1162         2.06978        4.29573        6.71    
Si1_29      28          0.735616     0.0784418   1.09965        1.85623        8.99998        9.9    
Si1_30      29          0.8125       0.08270     1.35413        1.72535        8.99975        10     
Si1_31      30          0.8825       0.08139     1.3            2.01397        9.0            10     
Si1_32      31          0.9575       0.08340     1.63148        1.98863        8.99996        10     
Si1_33      32          1.0325       0.08460     1.49748        2.12472        8.99948        9.90321
Si1_34      33          1.1225       0.08504     1.45719        2.33776        8.99168        10     
Si1_35      34          1.1925       0.08739     1.32617        2.11441        8.99977        3.61319
Si1_36      35          1.2775       0.08800     1.32727        1.8564         8.41114        9.99997
Si1_37      36          1.3625       0.08885     1.46011        1.9485         6.68513        9.9984 
Si1_38      37          1.4575       0.08948     1.52161        2.02577        8.99985        9.99987
Si1_39      38          1.5525       0.08984     1.53195        2.14832        8.99995        4.21233
Si1_40      39          1.6425       0.09156     1.47167        1.87694        8.99999        9.99994
Si1_41      40          1.7475       0.09241     1.47231        2.23727        8.99981        10     
Si1_42      41          1.8475       0.09313     1.51888        2.10773        4.99972        10     
Si1_43      42          1.9525       0.09505     1.4543         2.04698        8.99882        10     
Si1_44      43          2.0575       0.09620     1.41643        1.97295        8.99933        9.40533
Si1_45      44          2.1725       0.09789     1.54071        2.28956        8.52741        9.4158 
Si1_46      45          2.2875       0.09891     1.6157         2.34238        8.49341        9.96647
Si1_47      46          2.4075       0.10098     1.45658        2.10025        8.70484        9.99972
