Name        Id          CB_mean        CB_sigma       CB_alpha1      CB_alpha2      CB_n1          CB_n2         Expo_lambda          Range_limit
Si2_26      16777241    3.27815        0.111945       1.4718         2.008          6.99971        10.9958       -0.42                6
Si2_27      16777242    3.41458        0.112285       1.48453        1.96969        6.99863        11            -0.42                6
Si2_28      16777243    3.55973        0.114669       1.47001        2.14649        7              6.025         -0.42                6
Si2_29      16777244    3.70288        0.115969       1.57826        1.99489        5.51702        10.9994       -0.42                6
Si2_30      16777245    3.85112        0.119179       1.66521        2.37353        4.50388        3.89486       -0.42                6
Si2_31      16777246    4.00069        0.118795       1.56587        2.19443        6.99979        5.08324       -0.420               6
Si2_32      16777247    4.15694        0.120648       1.56765        2.10148        6.99995        9.53042       -0.420               6
Si2_33      16777248    4.2974         0.122218       1.7785         1.9823         3.3005         13.9994       -0.420               7
Si2_34      16777249    4.4548         0.123554       1.63514        2.14838        6.41395        10.0106       -0.420               7
Si2_35      16777250    4.62024        0.126628       1.79975        2.21249        3.42319        10.577        -0.420               7
Si2_36      16777251    4.78653        0.125638       1.62132        2.15462        5.10072        6.49114       -0.420               7
Si2_37      16777252    4.95178        0.128827       1.79131        2.13571        3.28573        8.69982       -0.424               7
Si2_38      16777253    5.12165        0.129946       1.84295        2.17849        3.09247        10.2659       -0.425               7
Si2_39      16777254    5.29383        0.131056       1.75802        2.14534        3.8432         9.36263       -0.411               7
Si2_40      16777255    5.46963        0.134131       1.83381        2.24979        3              6.00001       -0.359               7
Si2_41      16777256    5.64815        0.134216       1.80714        2.15056        3.32684        8.99988       -0.377               9
Si2_42      16777257    5.82841        0.1357         1.79212        2.12663        3.56375        9.00002       -0.367               9
Si2_43      16777258    6.01365        0.135891       1.69655        2.11128        4.19595        8.99992       -0.328               9
Si2_44      16777259    6.20117        0.139595       1.82451        2.14121        3              9             -0.376               9
Si2_45      16777260    6.391          0.140284       1.76996        2.15008        3.56697        9.00001       -0.340               9
Si2_46      16777261    6.58325        0.141457       1.71539        2.22758        4.0298         9             -0.393               9
Si2_47      16777262    6.77739        0.143004       1.81638        2.15834        3.0108         8.99633       -0.389               9
Si2_48      16777263    6.97838        0.144556       1.7381         2.08309        4.0069         9.00001       -0.352               9
Si2_49      16777264    7.15818        0.14493        1.75172        2.1059         3.55277        11.6371       -0.375               10
Si2_50      16777265    7.35768        0.147959       1.81422        2.26446        3              8.99995       -0.365               10
Si2_51      16777266    7.53895        0.14807        1.78023        2.26021        3              8.99994       -0.338               10
Si2_52      16777267    7.78078        0.14965        1.6965         2.07458        4.16677        10.9807       -0.373               10
Si2_53      16777268    7.99251        0.150953       1.68219        2.17953        4.35273        8.99893       -0.356               12
Si2_54      16777269    8.20665        0.152676       1.73952        2.27487        3.37916        6.00002       -0.344               12
Si2_55      16777270    8.42886        0.153521       1.73026        2.15386        3.66158        9             -0.378               12
Si2_56      16777271    8.63906        0.1557         1.78711        2.14587        3.0517         8.99989       -0.329               12
Si2_57      16777272    8.86425        0.157011       1.78071        2.16678        3.10867        8.99984       -0.364               12
Si2_58      16777273    9.08335        0.158357       1.73616        2.0831         3.77237        8.99998       -0.367               12
Si2_59      16777274    9.31253        0.15993        1.71481        2.13796        3.91936        9.74893       -0.353               12
Si2_60      16777275    9.54416        0.160526       1.71874        2.16286        3.59401        9             -0.367               12
Si2_61      16777276    9.77699        0.161685       1.67332        2.1019         4.1059         11.962        -0.385               12
Si2_62      16777277    10.0107        0.165111       1.73837        2.31418        3.56739        8.99986       -0.353               12
Si2_63      16777278    10.2497        0.165657       1.71147        2.21453        3.61342        8.99987       -0.350               12
