Name        Id          AdcToE_p0   AdcToE_p1   EToAdc_p0   EToAdc_p1   
Si1_1       0           -39.3123    0.780393    50.375      1.28141     
Si1_2       1           -44.9405    0.794489    56.5654     1.25867     
Si1_3       2           -42.1386    0.798737    52.7566     1.25198     
Si1_4       3           -41.3285    0.783874    52.7234     1.27571     
Si1_5       4           -55.3199    0.818069    67.6226     1.22239     
Si1_6       5           -47.1842    0.793174    59.4878     1.26076     
Si1_7       6           -38.7087    0.806269    48.0096     1.24028     
Si1_8       7           -45.9797    0.790437    58.1699     1.26512     
Si1_9       8           -45.7814    0.795972    57.5163     1.25633     
Si1_10      9           -38.8244    0.809593    47.9555     1.23519     
Si1_11      10          -41.1868    0.803358    51.2683     1.24478     
Si1_12      11          -44.206     0.805226    54.8989     1.24189     
Si1_13      12          -44.8391    0.77418     57.9182     1.29169     
Si1_14      13          -44.7757    0.760778    58.8552     1.31444     
Si1_15      14          -51.4885    0.793433    64.8933     1.26035     
Si1_16      15          -36.9266    0.78441     47.0757     1.27484     
Si1_17      16          -43.4033    0.798928    54.327      1.25168     
Si1_18      17          -47.1216    0.783578    60.1365     1.2762      
Si1_19      18          -59.5058    0.808049    73.6413     1.23755     
Si1_20      19          -54.4941    0.786646    69.274      1.27122     
Si1_21      20          -52.4975    0.797974    65.7885     1.25317     
Si1_22      21          -52.8717    0.811079    65.1868     1.23293     
Si1_23      22          -44.056     0.81294     54.1934     1.2301      
Si1_24      23          -60.8576    0.802507    75.8344     1.24609     
Si1_25      24          -44.8016    0.805173    55.6422     1.24197     
Si1_26      25          -57.9224    0.782269    74.0441     1.27833     
Si1_27      26          -42.5035    0.82044     51.8057     1.21886     
Si1_28      27          -52.0446    0.79365     65.5763     1.26        
Si1_29      28          -54.2601    0.796795    68.0979     1.25503     
Si1_30      29          -53.2751    0.793993    67.0977     1.25946     
Si1_31      30          -41.4385    0.791129    52.3789     1.26402     
Si1_32      31          -52.9612    0.795705    66.5589     1.25675     
Si1_33      32          -44.6046    0.785873    56.758      1.27247     
Si1_34      33          -44.76      0.808001    55.3959     1.23762     
Si1_35      34          -49.2954    0.808686    60.9574     1.23657     
Si1_36      35          -51.6465    0.800027    64.556      1.24996     
Si1_37      36          -44.637     0.78471     56.8834     1.27436     
Si1_38      37          -49.9136    0.804874    62.0141     1.24243     
Si1_39      38          -30.1021    0.783482    38.4209     1.27635     
Si1_40      39          -59.7014    0.78877     75.6893     1.2678      
Si1_41      40          -42.6374    0.779164    54.722      1.28343     
Si1_42      41          -51.9052    0.78187     66.386      1.27899     
Si1_43      42          -52.0412    0.795542    65.4161     1.257       
Si1_44      43          -40.7492    0.776078    52.5066     1.28853     
Si1_45      44          -48.3482    0.7951      60.8077     1.2577      
Si1_46      45          -49.0618    0.797368    61.5296     1.25413     
Si1_47      46          -39.7174    0.78814     50.3938     1.26881     
Si1_48      47          -40.5421    0.801505    50.5824     1.24765     
Si2_1       16777216    -40.5211    0.820199    49.404      1.21922     
Si2_2       16777217    -32.5591    0.78954     41.2381     1.26656     
Si2_3       16777218    -47.5173    0.80285     59.1858     1.24556     
Si2_4       16777219    -42.0145    0.803246    52.3059     1.24495     
Si2_5       16777220    -44.2419    0.784162    56.4194     1.27525     
Si2_6       16777221    -42.3389    0.798767    53.0054     1.25193     
Si2_7       16777222    -49.6124    0.792788    62.5797     1.26137     
Si2_8       16777223    -46.2061    0.797374    57.9479     1.25412     
Si2_9       16777224    -40.5387    0.803007    50.4836     1.24532     
Si2_10      16777225    -46.7771    0.79559     58.7956     1.25693     
Si2_11      16777226    -58.1244    0.791187    73.4648     1.26392     
Si2_12      16777227    -39.9668    0.791389    50.5021     1.2636      
Si2_13      16777228    -57.7614    0.80733     71.5462     1.23865     
Si2_14      16777229    -40.1461    0.812771    49.3941     1.23036     
Si2_15      16777230    -51.2798    0.783558    65.4448     1.27623     
Si2_16      16777231    -38.8532    0.777537    49.9696     1.28611     
Si2_17      16777232    -61.3608    0.81335     75.442      1.22948     
Si2_18      16777233    -47.7193    0.792121    60.2424     1.26243     
Si2_19      16777234    -53.0166    0.801365    66.1579     1.24787     
Si2_20      16777235    -46.1084    0.783237    58.869      1.27675     
Si2_21      16777236    -59.6869    0.781639    76.3612     1.27936     
Si2_22      16777237    -50.537     0.819049    61.702      1.22093     
Si2_23      16777238    -55.8757    0.770416    72.5266     1.298       
Si2_24      16777239    -48.6048    0.797117    60.9757     1.25452     
Si2_25      16777240    -54.6952    0.799786    68.3873     1.25033     
Si2_26      16777241    -56.3904    0.79329     71.0841     1.26057     
Si2_27      16777242    -68.5793    0.792051    86.5844     1.26254     
Si2_28      16777243    -54.6433    0.800144    68.2917     1.24977     
Si2_29      16777244    -58.9708    0.813786    72.4647     1.22882     
