Name        Id          AdcToE_p0   AdcToE_p1
Si1_1 0 -55.0113 0.795851
Si1_2 1 -55.0113 0.795851
Si1_3 2 -54.7756 0.800519
Si1_4 3 -47.584 0.784663
Si1_5 4 -67.9937 0.819862
Si1_6 5 -63.8449 0.795405
Si1_7 6 -47.6272 0.807377
Si1_8 7 -60.2191 0.792455
Si1_9 8 -50.8377 0.796658
Si1_10 9 -55.7922 0.811916
Si1_11 10 -49.1766 0.804479
Si1_12 11 -52.6229 0.806363
Si1_13 12 -55.223 0.775537
Si1_14 13 -60.6815 0.762972
Si1_15 14 -60.478 0.794643
Si1_16 15 -51.3496 0.786373
Si1_17 16 -52.2641 0.800215
Si1_18 17 -58.2457 0.785179
Si1_19 18 -67.9874 0.809393
Si1_20 19 -57.7548 0.787145
Si1_21 20 -68.2634 0.800303
Si1_22 21 -56.2493 0.811558
Si1_23 22 -53.9448 0.814478
Si1_24 23 -72.8641 0.804324
Si1_25 24 -46.4106 0.805444
Si1_26 25 -69.7045 0.783896
Si1_27 26 -50.211 0.821618
Si1_28 27 -62.0849 0.795279
Si1_29 28 -57.894 0.797322
Si1_30 29 -57.6276 0.794472
Si1_31 30 -48.517 0.791988
Si1_32 31 -55.6772 0.796132
Si1_33 32 -49.1871 0.7865
Si1_34 33 -47.682 0.808528
Si1_35 34 -61.1284 0.810539
Si1_36 35 -60.1767 0.801359
Si1_37 36 -52.8747 0.785957
Si1_38 37 -59.5125 0.806353
Si1_39 38 -45.5925 0.785752
Si1_40 39 -74.4431 0.791
Si1_41 40 -48.2057 0.779922
Si1_42 41 -61.3768 0.78324
Si1_43 42 -62.569 0.797143
Si1_44 43 -59.4728 0.778771
Si1_45 44 -56.9839 0.796335
Si1_46 45 -56.4425 0.798441
Si1_47 46 -47.0962 0.789186
Si1_48 47 -44.4379 0.802087
Si2_1 16777216 -64.2711 0.82379
Si2_2 16777217 -43.5891 0.791219
Si2_3 16777218 -62.9652 0.805192
Si2_4 16777219 -51.7423 0.804676
Si2_5 16777220 -55.873 0.785856
Si2_6 16777221 -50.4538 0.800023
Si2_7 16777222 -66.1481 0.795255
Si2_8 16777223 -62.0324 0.799736
Si2_9 16777224 -53.5831 0.804963
Si2_10 16777225 -53.3143 0.796617
Si2_11 16777226 -72.6575 0.793358
Si2_12 16777227 -51.5738 0.793184
Si2_13 16777228 -71.8018 0.809422
Si2_14 16777229 -57.0824 0.815242
Si2_15 16777230 -59.2764 0.78481
Si2_16 16777231 -64.5077 0.781196
Si2_17 16777232 -66.4388 0.814074
Si2_18 16777233 -60.8111 0.793977
Si2_19 16777234 -62.3545 0.802747
Si2_20 16777235 -52.3724 0.784139
Si2_21 16777236 -65.7167 0.782485
Si2_22 16777237 -62.3058 0.820853
Si2_23 16777238 -66.7473 0.772057
Si2_24 16777239 -62.5827 0.799138
Si2_25 16777240 -65.0279 0.801361
Si2_26 16777241 -60.3479 0.79398
Si2_27 16777242 -77.7785 0.79348
Si2_28 16777243 -62.2919 0.800906
Si2_29 16777244 -69.3475 0.815189
Si2_30 16777245 -64.5653 0.794414
Si2_31 16777246 -62.4079 0.800132
Si2_32 16777247 -64.4276 0.784342
Si2_33 16777248 -65.8845 0.931687
Si2_34 16777249 -53.9379 0.949227
Si2_35 16777250 -72.8983 0.94676
Si2_36 16777251 -64.0642 0.937119
Si2_37 16777252 -67.0358 0.918126
Si2_38 16777253 -51.2227 0.955393
Si2_39 16777254 -66.9435 0.926976
Si2_40 16777255 -58.4466 0.932976
Si2_41 16777256 -76.0372 1.15823
Si2_42 16777257 -70.215 1.15418
Si2_43 16777258 -68.8512 1.17236
Si2_44 16777259 -66.8103 1.16645
Si2_45 16777260 -63.1116 1.14839
Si2_46 16777261 -55.4217 1.16056
Si2_47 16777262 -68.312 1.13739
Si2_48 16777263 -69.1126 1.16607
Si2_49 16777264 -65.5642 1.39495
Si2_50 16777265 -51.6902 1.40568
Si2_51 16777266 -81.1069 1.38146
Si2_52 16777267 -79.662 1.38004
Si2_53 16777268 -90.3161 1.76829
