Name        Id          Mean        Sigma       
Si1_1       0           62.4744     18.3194     
Si1_2       1           47.9992     4.24804     
Si1_3       2           52.1729     3.82712     
Si1_4       3           48.6736     4.37507     
Si1_5       4           52.8509     3.89669     
Si1_6       5           47.2618     4.3442      
Si1_7       6           50.6671     3.87857     
Si1_8       7           48.1497     4.072       
Si1_9       8           52.9021     3.82711     
Si1_10      9           50.8207     4.0609      
Si1_11      10          55.395      4.0123      
Si1_12      11          50.8997     4.54976     
Si1_13      12          51.5463     4.06474     
Si1_14      13          50.6239     4.62123     
Si1_15      14          55.1019     4.04668     
Si1_16      15          53.5631     5.47142     
Si1_17      16          50.7795     3.97005     
Si1_18      17          47.0196     3.61254     
Si1_19      18          52.2773     3.70938     
Si1_20      19          46.8603     3.67574     
Si1_21      20          49.0446     3.3682      
Si1_22      21          46.3224     3.57882     
Si1_23      22          48.642      3.54778     
Si1_24      23          47.0657     3.68368     
Si1_25      24          48.983      3.65837     
Si1_26      25          48.3147     3.54734     
Si1_27      26          46.0713     3.29327     
Si1_28      27          48.2123     3.53342     
Si1_29      28          47.3003     3.6259      
Si1_30      29          47.5526     3.84511     
Si1_31      30          47.8104     3.54192     
Si1_32      31          47.1293     3.78136     
Si1_33      32          48.7984     3.72709     
Si1_34      33          46.9154     3.63566     
Si1_35      34          49.428      3.61771     
Si1_36      35          46.4474     3.77898     
Si1_37      36          47.4616     3.50897     
Si1_38      37          42.8321     3.52664     
Si1_39      38          47.8771     3.49631     
Si1_40      39          45.8441     3.80231     
Si1_41      40          46.5699     3.56688     
Si1_42      41          44.1814     3.8179      
Si1_43      42          47.0227     3.68656     
Si1_44      43          43.7762     3.76355     
Si1_45      44          47.0861     3.66715     
Si1_46      45          44.5217     3.83606     
Si1_47      46          47.4084     3.65386     
Si1_48      47          45.435      3.92065     
Si2_1       16777216    46.4139     5.14304     
Si2_2       16777217    46.5578     4.56849     
Si2_3       16777218    45.9499     3.98387     
Si2_4       16777219    47.8452     4.13171     
Si2_5       16777220    45.2385     4.22661     
Si2_6       16777221    46.6875     4.04116     
Si2_7       16777222    45.5085     4.41106     
Si2_8       16777223    45.7035     4.02295     
Si2_9       16777224    51.2227     4.69877     
Si2_10      16777225    52.5765     4.0761      
Si2_11      16777226    52.2722     4.548       
Si2_12      16777227    52.9872     4.61436     
Si2_13      16777228    53.8473     4.97622     
Si2_14      16777229    54.5325     4.07883     
Si2_15      16777230    54.7276     4.81948     
Si2_16      16777231    54.3248     4.87043     
Si2_17      16777232    47.1566     3.84868     
Si2_18      16777233    49.5222     3.52559     
Si2_19      16777234    48.126      3.75175     
Si2_20      16777235    50.47       3.6811      
Si2_21      16777236    48.4958     3.64024     
Si2_22      16777237    52.6346     3.61493     
Si2_23      16777238    48.6122     3.94403     
Si2_24      16777239    50.8356     3.47977     
Si2_25      16777240    54.768      3.68322     
Si2_26      16777241    45.7185     3.5739      
Si2_27      16777242    54.3273     3.89368     
Si2_28      16777243    47.5657     3.65502     
Si2_29      16777244    54.2519     3.61516     
Si2_30      16777245    47.1955     3.69526     
Si2_31      16777246    54.7834     3.59382     
Si2_32      16777247    47.7068     3.99369     
Si2_33      16777248    50.159      3.67906     
Si2_34      16777249    45.9468     3.17686     
Si2_35      16777250    48.2586     3.44869     
Si2_36      16777251    47.4649     3.14926     
Si2_37      16777252    48.2594     3.6893      
Si2_38      16777253    46.7434     2.98528     
Si2_39      16777254    48.8289     3.3684      
Si2_40      16777255    44.5549     2.95425     
Si2_41      16777256    44.9398     2.94734     
Si2_42      16777257    42.8542     2.52147     
Si2_43      16777258    45.9283     2.83812     
Si2_44      16777259    41.5529     2.51667     
Si2_45      16777260    46.7155     3.08078     
Si2_46      16777261    43.7034     2.71356     
Si2_47      16777262    46.4448     3.0063      
Si2_48      16777263    43.3995     2.62472     
Si2_49      16777264    48.658      2.6985      
Si2_50      16777265    42.5495     2.61091     
Si2_51      16777266    50.1957     2.82695     
Si2_52      16777267    42.3142     2.48213     
Si2_53      16777268    50.0891     2.25651     
Si2_54      16777269    41.7281     2.05598     
Si2_55      16777270    47.2925     2.33952     
Si2_56      16777271    41.8566     1.93433     
Si2_57      16777272    49.6502     2.55114     
Si2_58      16777273    47.6021     2.32985     
Si2_59      16777274    48.2078     2.35801     
Si2_60      16777275    46.8319     1.98956     
Si2_61      16777276    47.2342     2.31451     
Si2_62      16777277    46.2252     1.94291     
Si2_63      16777278    47.0257     2.14071     
Si2_64      16777279    45.264      1.89948     
Ge1_1       33554432    46.3253     2.25112     
Ge1_2       33554433    50.1713     2.38066     
Ge1_3       33554434    43.7097     2.0141      
Ge1_4       33554435    48.3492     2.31203     
Ge1_5       33554436    44.9409     1.72631     
Ge1_6       33554437    49.2524     2.03093     
Ge1_7       33554438    45.5309     1.83739     
Ge1_8       33554439    49.098      2.01611     
Ge1_9       33554440    46.3568     1.67677     
Ge1_10      33554441    45.9019     2.01934     
Ge1_11      33554442    43.2966     1.60343     
Ge1_12      33554443    44.4978     1.85809     
Ge1_13      33554444    50.0498     1.49016     
Ge1_14      33554445    46.3331     1.67274     
Ge1_15      33554446    45.0489     1.28628     
Ge1_16      33554447    45.9565     1.63761     
Ge1_17      33554448    36.5938     1.39414     
Ge1_18      33554449    38.8449     1.59248     
Ge1_19      33554450    35.5314     1.34142     
Ge1_20      33554451    36.4434     1.67325     
Ge1_21      33554452    35.7612     1.24906     
Ge1_22      33554453    37.5152     1.44375     
Ge1_23      33554454    34.8905     1.14465     
Ge1_24      33554455    35.7181     1.49333     
Ge1_25      33554456    30.7557     1.10735     
Ge1_26      33554457    36.7093     1.53698     
Ge1_27      33554458    30.2837     1.0863      
Ge1_28      33554459    36.7556     1.25267     
Ge1_29      33554460    30.371      0.994611    
Ge1_30      33554461    37.063      1.07977     
Ge1_31      33554462    32.2201     1.02047     
Ge1_32      33554463    36.3163     1.07911     
Ge2_1       50331648    44.8804     1.2594      
Ge2_2       50331649    44.0668     1.16307     
Ge2_3       50331650    43.4826     1.23129     
Ge2_4       50331651    46.7564     1.1868      
Ge2_5       50331652    45.036      1.20368     
Ge2_6       50331653    47.6711     1.01398     
Ge2_7       50331654    45.0946     1.18161     
Ge2_8       50331655    46.4919     1.04326     
Ge2_9       50331656    43.2453     1.20568     
Ge2_10      50331657    43.8979     1.03621     
Ge2_11      50331658    44.5743     1.10449     
Ge2_12      50331659    45.3162     1.0972      
Ge2_13      50331660    43.0939     1.20945     
Ge2_14      50331661    47.1192     1.16586     
Ge2_15      50331662    43.3555     1.06019     
Ge2_16      50331663    43.5157     1.08991     
Ge2_17      50331664    48.7059     1.08482     
Ge2_18      50331665    47.4742     1.07913     
Ge2_19      50331666    45.4158     1.03231     
Ge2_20      50331667    45.1607     1.10205     
Ge2_21      50331668    46.9844     1.02958     
Ge2_22      50331669    45.9932     1.00697     
Ge2_23      50331670    48.4639     1.02325     
Ge2_24      50331671    46.6464     1.03553     
Ge2_25      50331672    45.9394     0.953729    
Ge2_26      50331673    47.2412     0.989773    
Ge2_27      50331674    45.3511     0.977749    
Ge2_28      50331675    49.0098     1.05712     
Ge2_29      50331676    44.3614     0.890041    
Ge2_30      50331677    47.8634     0.908958    
Ge2_31      50331678    45.5966     0.947824    
Ge2_32      50331679    48.7534     0.900049    
