Name        Id          Mean        Sigma  
Si1_1       0           9.44228     14.2963
Si1_2       1           -6.80566    3.37502
Si1_3       2           -0.466174   3.05686
Si1_4       3           -3.17453    3.4295 
Si1_5       4           -12.0842    3.18776
Si1_6       5           -9.69737    3.44571
Si1_7       6           2.14261     3.12717
Si1_8       7           -7.9204     3.21866
Si1_9       8           -3.67281    3.04627
Si1_10      9           2.31968     3.28768
Si1_11      10          3.31522     3.22331
Si1_12      11          -3.22024    3.66359
Si1_13      12          -4.93299    3.14684
Si1_14      13          -6.26215    3.51573
Si1_15      14          -7.76883    3.21077
Si1_16      15          5.08883     4.29184
Si1_17      16          -2.83414    3.17178
Si1_18      17          -10.2781    2.83071
Si1_19      18          -17.2632    2.99736
Si1_20      19          -17.6316    2.89151
Si1_21      20          -13.3612    2.68774
Si1_22      21          -15.3006    2.90271
Si1_23      22          -4.51297    2.88413
Si1_24      23          -23.087     2.95618
Si1_25      24          -5.36181    2.94562
Si1_26      25          -20.1273    2.77497
Si1_27      26          -4.70476    2.70193
Si1_28      27          -13.7809    2.8043 
Si1_29      28          -16.5715    2.8891 
Si1_30      29          -15.5187    3.05299
Si1_31      30          -3.61431    2.80212
Si1_32      31          -15.4602    3.00885
Si1_33      32          -6.25525    2.92902
Si1_34      33          -6.85231    2.93762    
Si1_35      34          -9.32367    2.92559    
Si1_36      35          -14.4873    3.02329    
Si1_37      36          -7.39341    2.75352    
Si1_38      37          -15.4392    2.8385     
Si1_39      38          7.40875     2.7393     
Si1_40      39          -23.5409    2.99915    
Si1_41      40          -6.35181    2.77918    
Si1_42      41          -17.3611    2.9851     
Si1_43      42          -14.6327    2.932814   
Si1_44      43          -6.77545    2.92081    
Si1_45      44          -10.91      2.91575    
Si1_46      45          -13.5616    3.05875    
Si1_47      46          -2.35294    2.87975    
Si1_48      47          -4.12572    3.14242    
Si2_1       16777216    -2.45247    4.21832    
Si2_2       16777217    4.20015     3.60701    
Si2_3       16777218    -10.6264    3.19845    
Si2_4       16777219    -3.58303    3.31878    
Si2_5       16777220    -8.76759    3.31435    
Si2_6       16777221    -5.04647    3.22795    
Si2_7       16777222    -13.5338    3.49704    
Si2_8       16777223    -9.76332    3.2078     
Si2_9       16777224    0.593487    3.77315    
Si2_10      16777225    -4.94776    3.2429     
Si2_11      16777226    -16.7673    3.59832    
Si2_12      16777227    1.96669     3.65175    
Si2_13      16777228    -14.2889    4.01745    
Si2_14      16777229    4.17633     3.31515    
Si2_15      16777230    -8.39755    3.77634    
Si2_16      16777231    3.38634     3.78694    
Si2_17      16777232    -23.006     3.13032    
Si2_18      16777233    -8.49173    2.79269    
Si2_19      16777234    -14.4501    3.00652    
Si2_20      16777235    -6.57843    2.88317    
Si2_21      16777236    -21.7807    2.84535    
Si2_22      16777237    -7.42668    2.9608     
Si2_23      16777238    -18.4241    3.03854    
Si2_24      16777239    -8.08288    2.77378    
Si2_25      16777240    -10.8925    2.94579    
Si2_26      16777241    -20.1224    2.83514    
Si2_27      16777242    -25.5493    3.08399    
Si2_28      16777243    -16.5839    2.92454    
Si2_29      16777244    -14.8214    2.94197    
Si2_30      16777245    -19.0489    2.93067    
Si2_31      16777246    -12.1791    2.87197    
Si2_32      16777247    -13.565     3.12493    
Si2_33      16777248    -4.81475    3.41884    
Si2_34      16777249    4.75007     3.00727    
Si2_35      16777250    -17.4058    3.25914    
Si2_36      16777251    -9.85107    2.94624    
Si2_37      16777252    -11.7837    3.38083    
Si2_38      16777253    -2.28025    2.85021    
Si2_39      16777254    -15.8484    3.119346   
Si2_40      16777255    -6.77674    2.75138    
Si2_41      16777256    -16.3571    3.4091     
Si2_42      16777257    -6.76953    2.90282    
Si2_43      16777258    -10.7707    3.32523    
Si2_44      16777259    -9.70076    2.93096    
Si2_45      16777260    -3.24778    3.5339     
Si2_46      16777261    0.600744    3.14626    
Si2_47      16777262    -2.83854    3.41155    
Si2_48      16777263    -6.9305     3.05447    
Si2_49      16777264    11.267      3.75774    
Si2_50      16777265    23.7974     3.65969    
Si2_51      16777266    -4.949      3.90017    
Si2_52      16777267    3.8986      3.41032    
Si2_53      16777268    4.16527     3.98547    
Si2_54      16777269    11.0001     3.49428    
Si2_55      16777270    11.9933     3.9034     
Si2_56      16777271    19.0734     3.37152    
Si2_57      16777272    16.4919     4.26295    
Si2_58      16777273    20.6904     4.02484    
Si2_59      16777274    15.34       4.09086    
Si2_60      16777275    22.9266     3.39664    
Si2_61      16777276    9.26928     3.88886    
Si2_62      16777277    13.5733     3.44911    
Si2_63      16777278    4.54078     3.73674    
Si2_64      16777279    23.4642     3.31353    
Ge1_1       33554432    93.3291     3.67243    
Ge1_2       33554433    93.8969     4.04227    
Ge1_3       33554434    92.603      3.54516    
Ge1_4       33554435    84.1315     3.85515    
Ge1_5       33554436    110.691     3.71115    
Ge1_6       33554437    91.9393     4.21371    
Ge1_7       33554438    112.471     3.92224    
Ge1_8       33554439    105.604     4.27429    
Ge1_9       33554440    93.8569     3.5564     
Ge1_10      33554441    90.2704     4.37276    
Ge1_11      33554442    85.9368     3.40092    
Ge1_12      33554443    63.0448     3.97577    
Ge1_13      33554444    109.467     4.66344    
Ge1_14      33554445    97.1234     5.17649    
Ge1_15      33554446    84.5257     4.12307    
Ge1_16      33554447    91.632      5.17712    
Ge1_17      33554448    93.9415     4.27948    
Ge1_18      33554449    85.5424     5.04308    
Ge1_19      33554450    99.5062     4.28826    
Ge1_20      33554451    71.4847     5.40301    
Ge1_21      33554452    105.122     4.58033    
Ge1_22      33554453    88.7907     5.31052    
Ge1_23      33554454    89.0887     4.37992    
Ge1_24      33554455    72.3397     5.44431    
Ge1_25      33554456    87.9601     4.99877    
Ge1_26      33554457    127.357     6.96078    
Ge1_27      33554458    121.523     5.03816    
Ge1_28      33554459    95.7091     5.70986    
Ge1_29      33554460    170.314     5.33991    
Ge1_30      33554461    161.664     5.92031    
Ge1_31      33554462    186.732     5.50772    
Ge1_32      33554463    156.677     5.75689    
Ge2_1       50331648    202.814     6.87887    
Ge2_2       50331649    244.144     6.40583    
Ge2_3       50331650    189.321     6.79575    
Ge2_4       50331651    219.694     6.26192    
Ge2_5       50331652    230.623     6.5453     
Ge2_6       50331653    207.436     5.46834    
Ge2_7       50331654    193.66      6.32789    
Ge2_8       50331655    228.849     5.69989    
Ge2_9       50331656    208.985     8.07175    
Ge2_10      50331657    233.303     6.96572    
Ge2_11      50331658    179.201     7.19787    
Ge2_12      50331659    219.124     7.31211    
Ge2_13      50331660    180.887     8.14446    
Ge2_14      50331661    177.423     7.59578    
Ge2_15      50331662    189.555     7.06923    
Ge2_16      50331663    229.402     7.43447    
Ge2_17      50331664    287.088     8.85597    
Ge2_18      50331665    289.736     8.96149    
Ge2_19      50331666    273.518     8.3627     
Ge2_20      50331667    276.612     9.17414    
Ge2_21      50331668    271.595     8.56505    
Ge2_22      50331669    328.075     8.40665    
Ge2_23      50331670    96.1973     8.01707    
Ge2_24      50331671    266.827     8.3671     
Ge2_25      50331672    301.788     9.70505    
Ge2_26      50331673    336.294     10.2766    
Ge2_27      50331674    301.629     9.93559    
Ge2_28      50331675    348.624     10.7651    
