Name        Id          Mean(keV)      Sigma(keV)     Mean+2Sigma    Mean+3Sigma    Mean+5Sigma    
Si1_1       0           -5.29099       14.5795        23.868         38.4476        67.6066        
Si1_2       1           -16.8111       3.38081        -10.0495       -6.66867       0.0929457      
Si1_3       2           -13.0102       3.06368        -6.88284       -3.81916       2.30821        
Si1_4       3           -9.39163       3.43296        -2.52572       0.90724        7.77315        
Si1_5       4           -24.6633       3.19475        -18.2738       -15.079        -8.68952       
Si1_6       5           -26.2526       3.4554         -19.3418       -15.8864       -8.97564       
Si1_7       6           -6.71975       3.13147        -0.456812      2.67466        8.93759        
Si1_8       7           -22.0626       3.22688        -15.6089       -12.382        -5.92825       
Si1_9       8           -8.69282       3.0489         -2.59502       0.453875       6.55167        
Si1_10      9           -14.5301       3.29711        -7.93584       -4.63873       1.95549        
Si1_11      10          -4.61249       3.22781        1.84314        5.07095        11.5266        
Si1_12      11          -11.5793       3.66876        -4.24175       -0.572991      6.76453        
Si1_13      12          -15.2469       3.15236        -8.94222       -5.78987       0.514844       
Si1_14      13          -22.0569       3.52587        -15.0051       -11.4793       -4.42754       
Si1_15      14          -16.6917       3.21567        -10.2603       -7.04466       -0.613331      
Si1_16      15          -9.22902       4.30258        -0.62387       3.67871        12.2839        
Si1_17      16          -11.6296       3.17689        -5.2758        -2.0989        4.25489        
Si1_18      17          -21.3269       2.83649        -15.6539       -12.8174       -7.14444       
Si1_19      18          -25.6745       3.00235        -19.6698       -16.6675       -10.6628       
Si1_20      19          -20.8689       2.89334        -15.0823       -12.1889       -6.40225       
Si1_21      20          -29.0129       2.69558        -23.6217       -20.9261       -15.535        
Si1_22      21          -18.656        2.90442        -12.8471       -9.94273       -4.13389       
Si1_23      22          -14.327        2.88959        -8.54778       -5.65819       0.120983       
Si1_24      23          -35.008        2.96287        -29.0823       -26.1194       -20.1937       
Si1_25      24          -6.95754       2.94661        -1.06431       1.8823         7.77552        
Si1_26      25          -31.8308       2.78075        -26.2693       -23.4886       -17.9271       
Si1_27      26          -12.358        2.70581        -6.94637       -4.24056       1.17106        
Si1_28      27          -23.7427       2.81005        -18.1226       -15.3125       -9.6924        
Si1_29      28          -20.1804       2.89101        -14.3984       -11.5074       -5.72538       
Si1_30      29          -19.8484       3.05483        -13.7387       -10.6839       -4.57423       
Si1_31      30          -10.6517       2.80516        -5.04142       -2.23626       3.37405        
Si1_32      31          -18.1561       3.01046        -12.1351       -9.12467       -3.10375       
Si1_33      32          -10.8072       2.93136        -4.94445       -2.01309       3.84962        
Si1_34      33          -9.74959       2.93953        -3.87052       -0.930987      4.94808        
Si1_35      34          -21.0651       2.9323         -15.2005       -12.2682       -6.4036        
Si1_36      35          -22.9557       3.02832        -16.899        -13.8707       -7.81406       
Si1_37      36          -15.5719       2.7579         -10.0561       -7.29822       -1.78243       
Si1_38      37          -24.9747       2.84372        -19.2873       -16.4436       -10.7561       
Si1_39      38          -7.97297       2.74723        -2.47851       0.268725       5.76319        
Si1_40      39          -38.1804       3.00763        -32.1652       -29.1575       -23.1423       
Si1_41      40          -11.8848       2.78189        -6.32103       -3.53915       2.02463        
Si1_42      41          -26.7722       2.99033        -20.7915       -17.8012       -11.8205       
Si1_43      42          -25.0852       2.93872        -19.2078       -16.269        -10.3916       
Si1_44      43          -25.3812       2.93094        -19.5193       -16.5883       -10.7264       
Si1_45      44          -19.4876       2.92028        -13.647        -10.7268       -4.88619       
Si1_46      45          -20.8945       3.06287        -14.7688       -11.7059       -5.58021       
Si1_47      46          -9.68215       2.88358        -3.915         -1.03143       4.73572        
Si1_48      47          -7.99508       3.1447         -1.70567       1.43903        7.72843        
Si2_1       16777216    -26.0358       4.23678        -17.5622       -13.3254       -4.85187       
Si2_2       16777217    -6.75168       3.61468        0.477668       4.09234        11.3217        
Si2_3       16777218    -25.9667       3.20778        -19.5511       -16.3434       -9.92781       
Si2_4       16777219    -13.2424       3.32469        -6.59304       -3.26835       3.38102        
Si2_5       16777220    -20.3221       3.32151        -13.679        -10.3575       -3.71452       
Si2_6       16777221    -13.1027       3.23302        -6.63668       -3.40366       3.06238        
Si2_7       16777222    -29.9572       3.50792        -22.9414       -19.4335       -12.4177       
Si2_8       16777223    -25.4817       3.2173         -19.0471       -15.8298       -9.39518       
Si2_9       16777224    -12.3507       3.78234        -4.78605       -1.00371       6.56096        
Si2_10      16777225    -11.431        3.24709        -4.93679       -1.68969       4.80449        
Si2_11      16777226    -31.1869       3.60819        -23.9705       -20.3624       -13.146        
Si2_12      16777227    -9.5452        3.66004        -2.22513       1.43491        8.75498        
Si2_13      16777228    -28.2166       4.02786        -20.1609       -16.133        -8.0773        
Si2_14      16777229    -12.6252       3.32523        -5.97475       -2.64952       4.00095        
Si2_15      16777230    -16.3256       3.78238        -8.76088       -4.9785        2.58625        
Si2_16      16777231    -22.0694       3.80476        -14.4599       -10.6551       -3.04558       
