Name        Id          Size
Si1_1       0           5 
Si1_2       1           5 
Si1_3       2           5 
Si1_4       3           5 
Si1_5       4           5 
Si1_6       5           5 
Si1_7       6           5 
Si1_8       7           5 
Si1_9       8           5 
Si1_10      9           5 
Si1_11      10          5 
Si1_12      11          5 
Si1_13      12          5 
Si1_14      13          5 
Si1_15      14          5 
Si1_16      15          5 
Si1_17      16          5 
Si1_18      17          5 
Si1_19      18          5 
Si1_20      19          5 
Si1_21      20          5 
Si1_22      21          5 
Si1_23      22          7 
Si1_24      23          5 
Si1_25      24          7 
Si1_26      25          5 
Si1_27      26          7 
Si1_28      27          5 
Si1_29      28          5 
Si1_30      29          5 
Si1_31      30          5 
Si1_32      31          7 
Si1_33      32          5 
Si1_34      33          5 
Si1_35      34          5 
Si1_36      35          5 
Si1_37      36          5 
Si1_38      37          5 
Si1_39      38          7 
Si1_40      39          5 
Si1_41      40          5 
Si1_42      41          5 
Si1_43      42          5 
Si1_44      43          5 
Si1_45      44          5 
Si1_46      45          5 
Si1_47      46          7 
Si1_48      47          5 
Si2_1       16777216    7
Si2_2       16777217    7
Si2_3       16777218    5
Si2_4       16777219    7
Si2_5       16777220    5
Si2_6       16777221    5
Si2_7       16777222    5
Si2_8       16777223    5
Si2_9       16777224    7
Si2_10      16777225    7
Si2_11      16777226    5
Si2_12      16777227    7
Si2_13      16777228    5
Si2_14      16777229    5
Si2_15      16777230    5
Si2_16      16777231    5
Si2_17      16777232    5
Si2_18      16777233    7
Si2_19      16777234    5
Si2_20      16777235    5
Si2_21      16777236    5
Si2_22      16777237    7
Si2_23      16777238    5
Si2_24      16777239    5
Si2_25      16777240    5
Si2_26      16777241    5
Si2_27      16777242    5
Si2_28      16777243    5
Si2_29      16777244    5
Si2_30      16777245    5
Si2_31      16777246    7
Si2_32      16777247    5
Si2_33      16777248    5
Si2_34      16777249    7
Si2_35      16777250    5
Si2_36      16777251    5
Si2_37      16777252    5
Si2_38      16777253    5
Si2_39      16777254    5
Si2_40      16777255    5
Si2_41      16777256    5
Si2_42      16777257    5
Si2_43      16777258    5
Si2_44      16777259    5
Si2_45      16777260    5
Si2_46      16777261    5
Si2_47      16777262    5
Si2_48      16777263    5
Si2_49      16777264    5
Si2_50      16777265    5
Si2_51      16777266    5
Si2_52      16777267    5
Si2_53      16777268    5
Si2_54      16777269    5
Si2_55      16777270    7
Si2_56      16777271    7
Si2_57      16777272    7
Si2_58      16777273    7
Si2_59      16777274    7
Si2_60      16777275    7
Si2_61      16777276    7
Si2_62      16777277    7
Si2_63      16777278    7
Si2_64      16777279    7
Ge1_1       33554432    5 
Ge1_2       33554433    5 
Ge1_3       33554434    5 
Ge1_4       33554435    5 
Ge1_5       33554436    5 
Ge1_6       33554437    7 
Ge1_7       33554438    5 
Ge1_8       33554439    5 
Ge1_9       33554440    5 
Ge1_10      33554441    7 
Ge1_11      33554442    7 
Ge1_12      33554443    5 
Ge1_13      33554444    5 
Ge1_14      33554445    5 
Ge1_15      33554446    5 
Ge1_16      33554447    5 
Ge1_17      33554448    7 
Ge1_18      33554449    5 
Ge1_19      33554450    5 
Ge1_20      33554451    5 
Ge1_21      33554452    5 
Ge1_22      33554453    5 
Ge1_23      33554454    5 
Ge1_24      33554455    5 
Ge1_25      33554456    5 
Ge1_26      33554457    5 
Ge1_27      33554458    5 
Ge1_28      33554459    5
Ge1_29      33554460    5
Ge1_30      33554461    5
Ge1_31      33554462    5
Ge1_32      33554463    5
Ge2_1       50331648    7
Ge2_2       50331649    7
Ge2_3       50331650    7
Ge2_4       50331651    7
Ge2_5       50331652    7
Ge2_6       50331653    7
Ge2_7       50331654    7
Ge2_8       50331655    7
Ge2_9       50331656    7
Ge2_10      50331657    7
Ge2_11      50331658    7
Ge2_12      50331659    7
Ge2_13      50331660    7
Ge2_14      50331661    7
Ge2_15      50331662    7
Ge2_16      50331663    7
Ge2_17      50331664    7
Ge2_18      50331665    7
Ge2_19      50331666    7
Ge2_20      50331667    9
Ge2_21      50331668    9
Ge2_22      50331669    9
Ge2_23      50331670    9
Ge2_24      50331671    9
Ge2_25      50331672    9
Ge2_26      50331673    9
Ge2_27      50331674    9
Ge2_28      50331675    9
Ge2_29      50331676    9
Ge2_30      50331677    9
Ge2_31      50331678    9
Ge2_32      50331679    9
