Name        Id          Threshold
Si1_1       0           200 
Si1_2       1           200 
Si1_3       2           200 
Si1_4       3           200 
Si1_5       4           200 
Si1_6       5           200 
Si1_7       6           200 
Si1_8       7           200 
Si1_9       8           200 
Si1_10      9           200 
Si1_11      10          200 
Si1_12      11          200 
Si1_13      12          200 
Si1_14      13          200 
Si1_15      14          200 
Si1_16      15          200 
Si1_17      16          200 
Si1_18      17          200 
Si1_19      18          200 
Si1_20      19          200 
Si1_21      20          200 
Si1_22      21          200 
Si1_23      22          200 
Si1_24      23          200 
Si1_25      24          200 
Si1_26      25          200 
Si1_27      26          200 
Si1_28      27          200 
Si1_29      28          200 
Si1_30      29          200 
Si1_31      30          200 
Si1_32      31          200 
Si1_33      32          200 
Si1_34      33          200 
Si1_35      34          200 
Si1_36      35          200 
Si1_37      36          200 
Si1_38      37          200 
Si1_39      38          200 
Si1_40      39          200 
Si1_41      40          200 
Si1_42      41          200 
Si1_43      42          200 
Si1_44      43          200 
Si1_45      44          200 
Si1_46      45          200 
Si1_47      46          200 
Si1_48      47          200 
Si2_1       16777216    430
Si2_2       16777217    430
Si2_3       16777218    430
Si2_4       16777219    430
Si2_5       16777220    430
Si2_6       16777221    430
Si2_7       16777222    430
Si2_8       16777223    430
Si2_9       16777224    430
Si2_10      16777225    430
Si2_11      16777226    430
Si2_12      16777227    430
Si2_13      16777228    430
Si2_14      16777229    430
Si2_15      16777230    430
Si2_16      16777231    430
Si2_17      16777232    430
Si2_18      16777233    430
Si2_19      16777234    430
Si2_20      16777235    430
Si2_21      16777236    430
Si2_22      16777237    430
Si2_23      16777238    430
Si2_24      16777239    430
Si2_25      16777240    430
Si2_26      16777241    430
Si2_27      16777242    430
Si2_28      16777243    430
Si2_29      16777244    430
Si2_30      16777245    430
Si2_31      16777246    430
Si2_32      16777247    430
Si2_33      16777248    430
Si2_34      16777249    430
Si2_35      16777250    430
Si2_36      16777251    430
Si2_37      16777252    430
Si2_38      16777253    430
Si2_39      16777254    430
Si2_40      16777255    430
Si2_41      16777256    430
Si2_42      16777257    430
Si2_43      16777258    430
Si2_44      16777259    430
Si2_45      16777260    430
Si2_46      16777261    430
Si2_47      16777262    430
Si2_48      16777263    430
Si2_49      16777264    430
Si2_50      16777265    430
Si2_51      16777266    430
Si2_52      16777267    430
Si2_53      16777268    430
Si2_54      16777269    430
Si2_55      16777270    430
Si2_56      16777271    430
Si2_57      16777272    430
Si2_58      16777273    430
Si2_59      16777274    430
Si2_60      16777275    430
Si2_61      16777276    430
Si2_62      16777277    430
Si2_63      16777278    430
Si2_64      16777279    430
Ge1_1       33554432    600 
Ge1_2       33554433    600 
Ge1_3       33554434    600 
Ge1_4       33554435    600 
Ge1_5       33554436    600 
Ge1_6       33554437    600 
Ge1_7       33554438    600 
Ge1_8       33554439    600 
Ge1_9       33554440    600 
Ge1_10      33554441    600 
Ge1_11      33554442    600 
Ge1_12      33554443    600 
Ge1_13      33554444    600 
Ge1_14      33554445    600 
Ge1_15      33554446    600 
Ge1_16      33554447    600 
Ge1_17      33554448    600 
Ge1_18      33554449    600 
Ge1_19      33554450    600 
Ge1_20      33554451    600 
Ge1_21      33554452    600 
Ge1_22      33554453    600 
Ge1_23      33554454    600 
Ge1_24      33554455    600 
Ge1_25      33554456    600 
Ge1_26      33554457    600 
Ge1_27      33554458    600 
Ge1_28      33554459    600
Ge1_29      33554460    600
Ge1_30      33554461    600
Ge1_31      33554462    600
Ge1_32      33554463    600
Ge2_1       50331648    800
Ge2_2       50331649    800
Ge2_3       50331650    800
Ge2_4       50331651    800
Ge2_5       50331652    800
Ge2_6       50331653    800
Ge2_7       50331654    800
Ge2_8       50331655    800
Ge2_9       50331656    800
Ge2_10      50331657    800
Ge2_11      50331658    800
Ge2_12      50331659    800
Ge2_13      50331660    800
Ge2_14      50331661    800
Ge2_15      50331662    800
Ge2_16      50331663    800
Ge2_17      50331664    800
Ge2_18      50331665    800
Ge2_19      50331666    800
Ge2_20      50331667    800
Ge2_21      50331668    800
Ge2_22      50331669    800
Ge2_23      50331670    800
Ge2_24      50331671    800
Ge2_25      50331672    800
Ge2_26      50331673    800
Ge2_27      50331674    800
Ge2_28      50331675    800
Ge2_29      50331676    800
Ge2_30      50331677    800
Ge2_31      50331678    800
Ge2_32      50331679    800
