Name        Id          Threshold
Si1_1       0           145 
Si1_2       1           145 
Si1_3       2           145 
Si1_4       3           145 
Si1_5       4           145 
Si1_6       5           145 
Si1_7       6           145 
Si1_8       7           145 
Si1_9       8           145 
Si1_10      9           145 
Si1_11      10          150 
Si1_12      11          150 
Si1_13      12          150 
Si1_14      13          150 
Si1_15      14          150 
Si1_16      15          150 
Si1_17      16          150 
Si1_18      17          140 
Si1_19      18          140 
Si1_20      19          145 
Si1_21      20          140 
Si1_22      21          145 
Si1_23      22          140 
Si1_24      23          140 
Si1_25      24          140 
Si1_26      25          140 
Si1_27      26          140 
Si1_28      27          140 
Si1_29      28          140 
Si1_30      29          140 
Si1_31      30          140 
Si1_32      31          140 
Si1_33      32          140 
Si1_34      33          140 
Si1_35      34          145 
Si1_36      35          145 
Si1_37      36          140 
Si1_38      37          145 
Si1_39      38          140 
Si1_40      39          140 
Si1_41      40          145 
Si1_42      41          140 
Si1_43      42          140 
Si1_44      43          140 
Si1_45      44          140 
Si1_46      45          140 
Si1_47      46          140 
Si1_48      47          140 
Si2_1       16777216    130
Si2_2       16777217    135
Si2_3       16777218    135
Si2_4       16777219    130
Si2_5       16777220    135
Si2_6       16777221    135
Si2_7       16777222    135
Si2_8       16777223    135
Si2_9       16777224    135
Si2_10      16777225    140
Si2_11      16777226    140
Si2_12      16777227    140
Si2_13      16777228    140
Si2_14      16777229    140
Si2_15      16777230    145
Si2_16      16777231    140
Si2_17      16777232    140
Si2_18      16777233    140
Si2_19      16777234    140
Si2_20      16777235    140
Si2_21      16777236    145
Si2_22      16777237    145
Si2_23      16777238    145
Si2_24      16777239    145
Si2_25      16777240    145
Si2_26      16777241    140
Si2_27      16777242    150
Si2_28      16777243    140
Si2_29      16777244    150
Si2_30      16777245    144
Si2_31      16777246    150
Si2_32      16777247    145
Si2_33      16777248    140
Si2_34      16777249    135
Si2_35      16777250    140
Si2_36      16777251    140
Si2_37      16777252    140
Si2_38      16777253    135
Si2_39      16777254    135
Si2_40      16777255    135
Si2_41      16777256    135
Si2_42      16777257    132
Si2_43      16777258    138
Si2_44      16777259    135
Si2_45      16777260    130
Si2_46      16777261    130
Si2_47      16777262    135
Si2_48      16777263    135
Si2_49      16777264    140
Si2_50      16777265    135
Si2_51      16777266    145
Si2_52      16777267    135
Si2_53      16777268    145
Si2_54      16777269    135
Si2_55      16777270    140
Si2_56      16777271    135
Si2_57      16777272    145
Si2_58      16777273    140
Si2_59      16777274    145
Si2_60      16777275    140
Si2_61      16777276    145
Si2_62      16777277    145
Si2_63      16777278    145
Si2_64      16777279    140
Ge1_1       33554432    140 
Ge1_2       33554433    145 
Ge1_3       33554434    140 
Ge1_4       33554435    150 
Ge1_5       33554436    140 
Ge1_6       33554437    145 
Ge1_7       33554438    140 
Ge1_8       33554439    145 
Ge1_9       33554440    145 
Ge1_10      33554441    145 
Ge1_11      33554442    145 
Ge1_12      33554443    145 
Ge1_13      33554444    145 
Ge1_14      33554445    145 
Ge1_15      33554446    145 
Ge1_16      33554447    145 
Ge1_17      33554448    130 
Ge1_18      33554449    135 
Ge1_19      33554450    130 
Ge1_20      33554451    130 
Ge1_21      33554452    125 
Ge1_22      33554453    130 
Ge1_23      33554454    130 
Ge1_24      33554455    130 
Ge1_25      33554456    122 
Ge1_26      33554457    130 
Ge1_27      33554458    130 
Ge1_28      33554459    135
Ge1_29      33554460    120
Ge1_30      33554461    130
Ge1_31      33554462    125
Ge1_32      33554463    135
Ge2_1       50331648    130
Ge2_2       50331649    130
Ge2_3       50331650    130
Ge2_4       50331651    130
Ge2_5       50331652    130
Ge2_6       50331653    130
Ge2_7       50331654    130
Ge2_8       50331655    130
Ge2_9       50331656    130
Ge2_10      50331657    130
Ge2_11      50331658    130
Ge2_12      50331659    130
Ge2_13      50331660    130
Ge2_14      50331661    135
Ge2_15      50331662    130
Ge2_16      50331663    130
Ge2_17      50331664    145
Ge2_18      50331665    140
Ge2_19      50331666    140
Ge2_20      50331667    140
Ge2_21      50331668    140
Ge2_22      50331669    140
Ge2_23      50331670    140
Ge2_24      50331671    140
Ge2_25      50331672    140
Ge2_26      50331673    145
Ge2_27      50331674    140
Ge2_28      50331675    145
Ge2_29      50331676    140
Ge2_30      50331677    140
Ge2_31      50331678    140
Ge2_32      50331679    145
