Name        Id          Size
Si1_1       0           2 
Si1_2       1           2 
Si1_3       2           2 
Si1_4       3           2 
Si1_5       4           2 
Si1_6       5           2 
Si1_7       6           2 
Si1_8       7           2 
Si1_9       8           2 
Si1_10      9           2 
Si1_11      10          2 
Si1_12      11          2 
Si1_13      12          2 
Si1_14      13          2 
Si1_15      14          2 
Si1_16      15          2 
Si1_17      16          2 
Si1_18      17          2 
Si1_19      18          2 
Si1_20      19          2 
Si1_21      20          2 
Si1_22      21          2 
Si1_23      22          2 
Si1_24      23          2 
Si1_25      24          2 
Si1_26      25          2 
Si1_27      26          2 
Si1_28      27          2 
Si1_29      28          2 
Si1_30      29          2 
Si1_31      30          2 
Si1_32      31          2 
Si1_33      32          2 
Si1_34      33          2 
Si1_35      34          2 
Si1_36      35          2 
Si1_37      36          2 
Si1_38      37          2 
Si1_39      38          2 
Si1_40      39          2 
Si1_41      40          2 
Si1_42      41          2 
Si1_43      42          2 
Si1_44      43          2 
Si1_45      44          2 
Si1_46      45          2 
Si1_47      46          2 
Si1_48      47          4 
Si2_1       16777216    4
Si2_2       16777217    2
Si2_3       16777218    2
Si2_4       16777219    2
Si2_5       16777220    2
Si2_6       16777221    2
Si2_7       16777222    2
Si2_8       16777223    2
Si2_9       16777224    2
Si2_10      16777225    2
Si2_11      16777226    2
Si2_12      16777227    2
Si2_13      16777228    2
Si2_14      16777229    2
Si2_15      16777230    2
Si2_16      16777231    2
Si2_17      16777232    2
Si2_18      16777233    2
Si2_19      16777234    2
Si2_20      16777235    2
Si2_21      16777236    2
Si2_22      16777237    2
Si2_23      16777238    2
Si2_24      16777239    2
Si2_25      16777240    2
Si2_26      16777241    2
Si2_27      16777242    2
Si2_28      16777243    2
Si2_29      16777244    2
Si2_30      16777245    2
Si2_31      16777246    2
Si2_32      16777247    2
Si2_33      16777248    2
Si2_34      16777249    2
Si2_35      16777250    2
Si2_36      16777251    2
Si2_37      16777252    2
Si2_38      16777253    2
Si2_39      16777254    2
Si2_40      16777255    2
Si2_41      16777256    2
Si2_42      16777257    2
Si2_43      16777258    2
Si2_44      16777259    2
Si2_45      16777260    2
Si2_46      16777261    2
Si2_47      16777262    2
Si2_48      16777263    2
Si2_49      16777264    2
Si2_50      16777265    2
Si2_51      16777266    2
Si2_52      16777267    2
Si2_53      16777268    2
Si2_54      16777269    2
Si2_55      16777270    2
Si2_56      16777271    2
Si2_57      16777272    2
Si2_58      16777273    2
Si2_59      16777274    2
Si2_60      16777275    2
Si2_61      16777276    2
Si2_62      16777277    2
Si2_63      16777278    2
Si2_64      16777279    4
Ge1_1       33554432    4 
Ge1_2       33554433    3 
Ge1_3       33554434    3 
Ge1_4       33554435    3 
Ge1_5       33554436    3 
Ge1_6       33554437    3 
Ge1_7       33554438    3 
Ge1_8       33554439    3 
Ge1_9       33554440    3 
Ge1_10      33554441    3 
Ge1_11      33554442    3 
Ge1_12      33554443    3 
Ge1_13      33554444    3 
Ge1_14      33554445    3 
Ge1_15      33554446    3 
Ge1_16      33554447    3 
Ge1_17      33554448    3 
Ge1_18      33554449    3 
Ge1_19      33554450    3 
Ge1_20      33554451    3 
Ge1_21      33554452    3 
Ge1_22      33554453    3 
Ge1_23      33554454    3 
Ge1_24      33554455    3 
Ge1_25      33554456    3 
Ge1_26      33554457    3 
Ge1_27      33554458    3 
Ge1_28      33554459    3
Ge1_29      33554460    3
Ge1_30      33554461    3
Ge1_31      33554462    3
Ge1_32      33554463    5
Ge2_1       50331648    5
Ge2_2       50331649    5
Ge2_3       50331650    5
Ge2_4       50331651    5
Ge2_5       50331652    5
Ge2_6       50331653    5
Ge2_7       50331654    5
Ge2_8       50331655    5
Ge2_9       50331656    5
Ge2_10      50331657    5
Ge2_11      50331658    5
Ge2_12      50331659    5
Ge2_13      50331660    5
Ge2_14      50331661    5
Ge2_15      50331662    5
Ge2_16      50331663    5
Ge2_17      50331664    5
Ge2_18      50331665    5
Ge2_19      50331666    5
Ge2_20      50331667    5
Ge2_21      50331668    5
Ge2_22      50331669    5
Ge2_23      50331670    5
Ge2_24      50331671    5
Ge2_25      50331672    5
Ge2_26      50331673    5
Ge2_27      50331674    5
Ge2_28      50331675    5
Ge2_29      50331676    5
Ge2_30      50331677    5
Ge2_31      50331678    5
Ge2_32      50331679    5
