Name        Id          Mean(keV)   Sigma       3Sigma      5Sigma      
Si1_1       0           9.44228     14.2963     42.889      71.4817     
Si1_2       1           -6.80566    3.37502     10.1251     16.8751     
Si1_3       2           -0.466174   3.05686     9.17059     15.2843     
Si1_4       3           -3.17453    3.4295      10.2885     17.1475     
Si1_5       4           -12.0842    3.18776     9.56328     15.9388     
Si1_6       5           -9.69737    3.44571     10.3371     17.2285     
Si1_7       6           2.14261     3.12717     9.38151     15.6359     
Si1_8       7           -7.9204     3.21866     9.65598     16.0933     
Si1_9       8           -3.67281    3.04627     9.13882     15.2314     
Si1_10      9           2.31968     3.28768     9.86303     16.4384     
Si1_11      10          3.31522     3.22331     9.66994     16.1166     
Si1_12      11          -3.22024    3.66359     10.9908     18.3179     
Si1_13      12          -4.93299    3.14684     9.44052     15.7342     
Si1_14      13          -6.26215    3.51573     10.5472     17.5787     
Si1_15      14          -7.76883    3.21077     9.63231     16.0538     
Si1_16      15          5.08883     4.29184     12.8755     21.4592     
Si1_17      16          -2.83414    3.17178     9.51535     15.8589     
Si1_18      17          -10.2781    2.83071     8.49212     14.1535     
Si1_19      18          -17.2632    2.99736     8.99208     14.9868     
Si1_20      19          -17.6316    2.89151     8.67452     14.4575     
Si1_21      20          -13.3612    2.68774     8.06321     13.4387     
Si1_22      21          -15.3006    2.90271     8.70812     14.5135     
Si1_23      22          -4.51297    2.88413     8.6524      14.4207     
Si1_24      23          -23.087     2.95618     8.86854     14.7809     
Si1_25      24          -5.36181    2.94562     8.83686     14.7281     
Si1_26      25          -20.1273    2.77497     8.32492     13.8749     
Si1_27      26          -4.70476    2.70193     8.10579     13.5097     
Si1_28      27          -13.7809    2.8043      8.4129      14.0215     
Si1_29      28          -16.5715    2.8891      8.6673      14.4455     
Si1_30      29          -15.5187    3.05299     9.15897     15.265      
Si1_31      30          -3.61431    2.80212     8.40635     14.0106     
Si1_32      31          -15.4602    3.00885     9.02654     15.0442     
Si1_33      32          -6.25525    2.92902     8.78706     14.6451     
Si1_34      33          -6.85231    2.93762     8.81285     14.6881     
Si1_35      34          -9.32367    2.92559     8.77677     14.628      
Si1_36      35          -14.4873    3.02329     9.06986     15.1164     
Si1_37      36          -7.39341    2.75352     8.26057     13.7676     
Si1_38      37          -15.4392    2.8385      8.5155      14.1925     
Si1_39      38          7.40875     2.7393      8.21789     13.6965     
Si1_40      39          -23.5409    2.99915     8.99744     14.9957     
Si1_41      40          -6.35181    2.77918     8.33755     13.8959     
Si1_42      41          -17.3611    2.9851      8.9553      14.9255     
Si1_43      42          -14.6327    2.93281     8.79844     14.6641     
Si1_44      43          -6.77545    2.92081     8.76243     14.604      
Si1_45      44          -10.91      2.91575     8.74725     14.5788     
Si1_46      45          -13.5616    3.05875     9.17625     15.2938     
Si1_47      46          -2.35294    2.87975     8.63926     14.3988     
Si1_48      47          -4.12572    3.14242     9.42726     15.7121     
