Name        Id          p0          p1          err(p0)     err(p1)     chi2/ndf    
Si1_1       0           12117       1619.97     3.94884     0.00193818  13465.6     
Si1_2       1           12266.8     1617.15     3.75878     0.00172615  19438.7     
Si1_3       2           11032       1616.27     3.75175     0.00183113  14958.4     
Si1_4       3           10984.9     1616.38     4.09572     0.00224296  11933.9     
Si1_5       4           11717.1     1608.4      3.8986      0.00182617  13077.9     
Si1_6       5           11612.1     1617.18     3.81648     0.00156826  19746.8     
Si1_7       6           11240.5     1616.34     3.67218     0.00176396  16810.7     
Si1_8       7           12209.6     1616.35     4.04935     0.00198692  14167.8     
Si1_9       8           12512.6     1617.47     4.0559      0.00186662  12882.8     
Si1_10      9           11683.6     1607.94     3.79982     0.00180131  14885.7     
Si1_11      10          8782.71     1617.96     3.78147     0.00230259  9435.32     
Si1_12      11          10117.9     1617.28     3.89825     0.00215448  11383.7     
Si1_13      12          11289.6     1607.08     4.28767     0.00212176  12545.7     
Si1_14      13          10796.6     1609.99     4.37488     0.00239398  9704.49     
Si1_15      14          10394.8     1609.21     4.03409     0.00220776  10483.3     
Si1_16      15          11981.3     1618.47     4.29003     0.00207011  12730.5     
Si1_17      16          11257.4     1627.54     3.623       0.00186673  17562.1     
Si1_18      17          8190.89     1624.22     3.40569     0.0022854   12537.9     
Si1_19      18          8961.38     1628.7      2.67232     0.00150207  22895.8     
Si1_20      19          9417.19     1625.58     3.19723     0.00179949  19390.9     
Si1_21      20          10761.4     1620.03     3.5732      0.00181748  17573.9     
Si1_22      21          9781.57     1627.94     3.1176      0.00167085  20448.6     
Si1_23      22          8550.51     1618.18     3.23347     0.001973    15749.6     
Si1_24      23          8663.28     1628.19     3.48829     0.00235816  12060.3     
Si1_25      24          8984.52     1625.52     3.8589      0.00271475  7788.28     
Si1_26      25          10561.5     1625.31     3.27502     0.00159486  19977.7     
Si1_27      26          9319.39     1625.63     2.73022     0.00142193  30454.3     
Si1_28      27          7467.59     1625.43     3.78403     0.00312074  6899.34     
