Name        Id          mean        sigma       
Si1_1       0           1529.81     0.515817    
Si1_2       1           1526.71     0.460227    
Si1_3       2           1526.06     0.493638    
Si1_4       3           1526.01     0.563431    
Si1_5       4           1518.57     0.463208    
Si1_6       5           1527.12     0.464593    
Si1_7       6           1526.24     0.484033    
Si1_8       7           1526.11     0.5         
Si1_9       8           1527.78     0.489086    
Si1_10      9           1517.98     0.487964    
Si1_11      10          1527.41     0.540701    
Si1_12      11          1526.83     0.540768    
Si1_13      12          1516.63     0.536453    
Si1_14      13          1519.34     0.554991    
Si1_15      14          1518.89     0.551369    
Si1_16      15          1528.22     0.526781    
Si1_17      16          1533.71     0.540164    
Si1_18      17          1529.58     0.687374    
Si1_19      18          1534.88     0.449222    
Si1_20      19          1531.38     0.554429    
Si1_21      20          1526.14     0.555284    
Si1_22      21          1533.94     0.51439     
Si1_23      22          1523.83     0.587824    
Si1_24      23          1533.81     0.635611    
Si1_25      24          1531.16     0.600529    
Si1_26      25          1531.62     0.509383    
Si1_27      26          1531.54     0.460195    
Si1_28      27          1530.87     1.09469     
Si1_29      28          1532.99     0.490804    
Si1_30      29          1533.38     0.512467    
Si1_31      30          1532.87     0.455929    
Si1_32      31          1532.64     0.517318    
Si1_33      32          1533.69     0.621052    
Si1_34      33          1536.76     0.477306    
Si1_35      34          1534.92     0.495207    
Si1_36      35          1534.69     0.457461    
Si1_37      36          1538.04     0.533963    
Si1_38      37          1535.43     0.550768    
Si1_39      38          1534.88     0.499645    
Si1_40      39          1537.28     0.548736    
Si1_41      40          1536.97     0.498184    
Si1_42      41          1534.18     0.631363    
Si1_43      42          1536.45     0.598801    
Si1_44      43          1533.28     0.49841     
Si1_45      44          1530.12     0.553285    
Si1_46      45          1537.95     0.522053    
Si1_47      46          1528.4      0.530292    
Si1_48      47          1536.6      0.577745    
Si2_1       16777216    1536.69     0.509889    
Si2_2       16777217    1534.93     0.613823    
Si2_3       16777218    1535.7      0.436521    
Si2_4       16777219    1535.87     0.494816    
Si2_5       16777220    1536.99     0.481215    
Si2_6       16777221    1528.48     0.492777    
Si2_7       16777222    1536.66     0.493418    
Si2_8       16777223    1533.71     0.559726    
Si2_9       16777224    1528.14     0.476942    
Si2_10      16777225    1535.92     0.484184    
Si2_11      16777226    1525.45     0.47505     
Si2_12      16777227    1536.98     0.469376    
Si2_13      16777228    1533.05     0.478296    
Si2_14      16777229    1533.67     0.421156    
Si2_15      16777230    1537.51     0.468441    
Si2_16      16777231    1527.24     0.490616    
Si2_17      16777232    1530.15     0.582739    
Si2_18      16777233    1520.76     0.519791    
Si2_19      16777234    1522.08     0.461878    
Si2_20      16777235    1530.8      0.493324    
Si2_21      16777236    1532.52     0.432381    
Si2_22      16777237    1531.32     0.509256    
Si2_23      16777238    1532.17     0.517094    
Si2_24      16777239    1529.02     0.483562    
Si2_25      16777240    1529.7      0.44757     
Si2_26      16777241    1529.73     0.430279    
Si2_27      16777242    1529.18     0.492439    
Si2_28      16777243    1530.26     0.462272    
Si2_29      16777244    1527.37     0.453261    
Si2_30      16777245    1528.84     0.472149    
Si2_31      16777246    1529.76     0.484318    
Si2_32      16777247    1521.57     0.491715    
Si2_33      16777248    1547.49     0.435892    
Si2_34      16777249    1546.83     0.539744    
Si2_35      16777250    1546.36     0.505426    
Si2_36      16777251    1535.75     0.460337    
Si2_37      16777252    1550.24     0.469009    
Si2_38      16777253    1541.55     0.419747    
